item,org,date,quantity
3959294,1617388,2014-03-01,6375
3959294,1619228,2014-03-02,2932
3959294,40022636,2014-03-03,2641
3959294,42023714,2014-03-04,8910
3959313,1617388,2014-03-05,1815
3959313,1619228,2014-03-06,1842
3959313,40022636,2014-03-07,1089
3959313,42023714,2014-03-08,3975
3959506,1617388,2014-03-09,37148
3959506,1619228,2014-03-10,9559
3959506,40022636,2014-03-11,11725
3959506,42023714,2014-03-12,32952
3959509,1617388,2014-03-13,5561
3959509,1619228,2014-03-14,2203
3959509,40022636,2014-03-15,3208
3959509,42023714,2014-03-16,4127
3959530,1617388,2014-03-17,50360
3959530,1619228,2014-03-18,26497
3959530,40022636,2014-03-19,12734
3959530,42023714,2014-03-20,31282
6609938,1617388,2014-03-21,6208
6609938,1619228,2014-03-22,2880
6609938,40022636,2014-03-23,2193
6609938,42023714,2014-03-24,6170
3959294,1617388,2014-03-25,6797
3959294,1619228,2014-03-26,3813
3959294,40022636,2014-03-27,2925
3959294,42023714,2014-03-28,11579
3959313,1617388,2014-03-29,2275
3959313,1619228,2014-03-30,1876
3959313,40022636,2014-03-31,1275
3959313,42023714,2014-04-01,4857
3959506,1617388,2014-04-02,17897
3959506,1619228,2014-04-03,17720
3959506,40022636,2014-04-04,13963
3959506,42023714,2014-04-05,21135
3959509,1617388,2014-04-06,9364
3959509,1619228,2014-04-07,6066
3959509,40022636,2014-04-08,5226
3959509,42023714,2014-04-09,6165
3959530,1617388,2014-04-10,65676
3959530,1619228,2014-04-11,54169
3959530,40022636,2014-04-12,17408
3959530,42023714,2014-04-13,59424
6609938,1617388,2014-04-14,6744
6609938,1619228,2014-04-15,4398
6609938,40022636,2014-04-16,1808
6609938,42023714,2014-04-17,5612
28065487,1617388,2014-04-18,3700
28065487,1619228,2014-04-19,1310
28065487,42023714,2014-04-20,3517
3959294,1617388,2014-04-21,7091
3959294,1619228,2014-04-22,2861
3959294,40022636,2014-04-23,4236
3959294,42023714,2014-04-24,4637
3959313,1617388,2014-04-25,1843
3959313,1619228,2014-04-26,1464
3959313,40022636,2014-04-27,1738
3959313,42023714,2014-04-28,2113
3959506,1617388,2014-04-29,48770
3959506,1619228,2014-04-30,11991
3959506,40022636,2014-05-01,17427
3959506,42023714,2014-05-02,10242
3959509,1617388,2014-05-03,8766
3959509,1619228,2014-05-04,3024
3959509,40022636,2014-05-05,5107
3959509,42023714,2014-05-06,2795
3959530,1617388,2014-05-07,46186
3959530,1619228,2014-05-08,25587
3959530,40022636,2014-05-09,18518
3959530,42023714,2014-05-10,17609
6609938,1617388,2014-05-11,4730
6609938,1619228,2014-05-12,3379
6609938,40022636,2014-05-13,2476
6609938,42023714,2014-05-14,2592
28065487,1617388,2014-05-15,8058
28065487,1619228,2014-05-16,5166
28065487,40022636,2014-05-17,4409
28065487,42023714,2014-05-18,3383
3959294,1617388,2014-05-19,7499
3959294,1619228,2014-05-20,3099
3959294,40022636,2014-05-21,3408
3959294,42023714,2014-05-22,11527
3959313,1617388,2014-05-23,2254
